Nazwisko_aktualne,Liczba
ŚLĘZAK,3321
BUDZIŃSKI,3320
SĘK,3317
FRĄTCZAK,3314
SZUBA,3313
PIETRUSZKA,3308
JURCZYK,3304
DRÓŻDŻ,3303
RUDZKI,3300
LESIAK,3295
BIELSKI,3294
KOZIK,3292
BIAŁKOWSKI,3291
KULIŃSKI,3284
KMIEĆ,3283
NIEDZIELSKI,3276
PANASIUK,3275
KRAKOWSKI,3269
MIERZWA,3266
WOŹNICA,3257
ZIMNY,3257
KOSTECKI,3255
ŚWIDER,3255
BIELIŃSKI,3252
TOMASIK,3252
HERMAN,3251
MILLER,3250
SOBOTA,3250
KOSOWSKI,3243
GUT,3239
ADAMOWICZ,3234
BANASZEK,3233
PEŁKA,3233
OLCZYK,3224
PAWLICKI,3224
POLAŃSKI,3224
SKORUPA,3223
STAWICKI,3219
WOŁOSZYN,3214
GRZEŚKOWIAK,3212
WOJTASIK,3210
GRUDZIEŃ,3208
SOBAŃSKI,3193
POGORZELSKI,3192
URBANEK,3189
SEKUŁA,3188
ŚMIGIELSKI,3183
CZEKAJ,3165
PIWOWARSKI,3163
KAWECKI,3152
TOKARCZYK,3141
BOGACZ,3135
BORYS,3132
LISZKA,3125
LITWIN,3125
LORENC,3125
PIĘTKA,3125
WOJTKOWIAK,3124
KĘDZIOR,3121
ŻUCHOWSKI,3120
URBANOWICZ,3115
CZERNIAK,3111
JUSZCZYK,3111
SZWARC,3111
KOVALENKO,3103
GACEK,3096
ŚWIĄTKOWSKI,3096
BISKUP,3093
KNAP,3093
BONDARENKO,3090
NGUYEN,3089
MAKUCH,3081
SZAREK,3075
WIŚNIOWSKI,3074
SZOT,3073
GRUDZIŃSKI,3066
KRASOWSKI,3066
SHEVCHUK,3062
NAPIERAŁA,3061
RATAJCZYK,3060
ROSZKOWSKI,3059
IZDEBSKI,3058
KUKLA,3045
STUDZIŃSKI,3045
KARCZ,3041
KWIATEK,3041
KAWKA,3040
KRUKOWSKI,3036
MACKIEWICZ,3031
RYBKA,3030
ŚLEDŹ,3029
SIWIEC,3013
JAKUBCZYK,3011
KUSIAK,3005
JÓŹWIK,3002
MAŃKA,2996
ROSZAK,2985
PAPROCKI,2982
MAZIARZ,2981
ŁUKASZEWICZ,2977
DUSZYŃSKI,2966
ROŻEK,2963
BOBROWSKI,2960
ALEKSANDROWICZ,2949
RESZKA,2948
KOVAL,2946
FILIP,2945
JEZIORSKI,2942
GRZYBEK,2941
KRASZEWSKI,2938
SZKUDLAREK,2937
WOJDA,2937
SEMENIUK,2932
SIDOR,2932
WACH,2930
TKACZ,2927
WERNER,2925
KORCZAK,2916
TUROWSKI,2913
SMOLEŃ,2911
MAŁKOWSKI,2910
MIELCAREK,2908
HOFFMANN,2904
RUSEK,2903
ŚPIEWAK,2903
GRODZKI,2901
SZELIGA,2899
DROŻDŻ,2889
WRZESIŃSKI,2886
KĘPKA,2882
KRÓLAK,2881
NIEDZIELA,2879
SZCZUREK,2878
WAJDA,2873
STASZAK,2866
KORZENIEWSKI,2860
PĘKALA,2860
PIECH,2859
KRUSZYŃSKI,2857
SZOPA,2857
KULPA,2854
OLECH,2851
GRABARCZYK,2847
GĄSIOREK,2842
PLICHTA,2839
MAJKOWSKI,2837
SZYMANEK,2837
BUGAJSKI,2835
SUSKI,2832
RZEPECKI,2831
SCHMIDT,2829
LEWIŃSKI,2827
KOSMALA,2821
PERKOWSKI,2821
GOLA,2818
LIPIEC,2817
TKACHENKO,2808
SKONIECZNY,2806
BARTOSZEK,2804
KAPUŚCIŃSKI,2804
RODAK,2801
BOGDAŃSKI,2800
RADZISZEWSKI,2799
JAKUBIEC,2795
LANGE,2789
KUPIEC,2781
ROGOZIŃSKI,2779
WOJTOWICZ,2777
KOKOSZKA,2773
ORZEŁ,2773
KURZAWA,2772
OLSZAK,2771
PISZCZEK,2771
WASIELEWSKI,2767
PISAREK,2762
SZPAK,2758
SUŁKOWSKI,2757
RACZKOWSKI,2755
WRZOSEK,2752
SUCHECKI,2750
JASKULSKI,2749
ROKICKI,2745
DYMEK,2743
PASZKIEWICZ,2736
WIELGUS,2736
KAŹMIERSKI,2734
OŻÓG,2734
KAWALEC,2733
RÓG,2733
GOLIŃSKI,2732
JANCZAK,2732
KOZAKIEWICZ,2728
BIELA,2720
GOŁĄBEK,2720
KOKOT,2718
GŁADYSZ,2717
ZAPAŁA,2709
OSOWSKI,2707
WYRZYKOWSKI,2704
BIAŁECKI,2701
BURDA,2701
WOJTASZEK,2701
ADAMIEC,2696
CHROBAK,2696
STOKŁOSA,2693
BANASZAK,2692
BUGAJ,2688
KOPROWSKI,2688
MACH,2688
BRODOWSKI,2686
POTOCKI,2686
BRZESKI,2685
GRUCA,2685
ŚWIERCZEK,2682
SUDOŁ,2681
BARSZCZ,2679
PLEWA,2678
ROMAŃSKI,2678
KONARSKI,2676
GARBACZ,2675
LASEK,2673
SOLECKI,2673
BOJARSKI,2669
MATUSIK,2667
SZYMANOWSKI,2667
PIERZCHAŁA,2658
SMOLAREK,2654
LOREK,2652
KALIŃSKI,2650
KAROLAK,2648
MĄCZKA,2643
OLIINYK,2643
JAMRÓZ,2642
KOSTKA,2641
NOWIŃSKI,2639
KOCHAŃSKI,2638
SUROWIEC,2636
BALICKI,2633
PŁATEK,2629
SZCZYGIELSKI,2628
WASZKIEWICZ,2628
BILIŃSKI,2620
CZARNOTA,2620
GABRYŚ,2613
AMBROZIAK,2607
PISKORZ,2605
ŁACH,2602
PIECHOCKI,2602
PASZEK,2598
PUCHAŁA,2598
BERNAT,2597
MARTYNIUK,2597
SALA,2593
ŚWITAŁA,2593
BIEL,2591
TRACZYK,2591
WÓJCIAK,2591
WAGNER,2590
WŁOCH,2589
DZIKOWSKI,2583
KOLASIŃSKI,2583
WALCZYK,2575
PASEK,2572
MĄDRY,2569
WDOWIAK,2567
BARON,2564
BŁOŃSKI,2561
KEMPA,2561
ZBOROWSKI,2559
BUREK,2557
STENCEL,2555
SZYMANIAK,2555
ZAWISTOWSKI,2555
WEBER,2553
TKACHUK,2552
KRAUZE,2550
PIĘTA,2550
DOLATA,2549
OKOŃ,2549
BATOR,2546
GRELA,2543
SKWAREK,2543
OSUCH,2541
WACHOWIAK,2540
BOGDAN,2539
KOZYRA,2536
OGÓREK,2530
OLEŚ,2530
STACHOWSKI,2529
ADAMCZEWSKI,2528
CICHOSZ,2526
GAZDA,2523
FRANCZAK,2522
JAROSZEWSKI,2520
FERENC,2519
ZARĘBSKI,2519
DZIURA,2518
JEDYNAK,2518
FIGURA,2517
WĄSOWSKI,2516
DOLIŃSKI,2514
MODRZEJEWSKI,2513
KAPICA,2509
WALIGÓRA,2509
WIELGOSZ,2509
OZGA,2506
MULARCZYK,2503
GÓRALCZYK,2499
MIECZKOWSKI,2499
MIŚ,2496
STĘPNIEWSKI,2494
DRĄG,2491
KOŚCIELNIAK,2491
PARADOWSKI,2491
DUTKIEWICZ,2490
KRAVCHENKO,2489
JASKÓLSKI,2487
CIOŁEK,2486
GRABSKI,2486
GROBELNY,2485
LACHOWICZ,2484
MAJDA,2484
ZAWISZA,2483
ŁOŚ,2482
MROWIEC,2482
MYŚLIWIEC,2482
KULAS,2481
GRYGIEL,2478
NADOLNY,2478
LEMAŃSKI,2477
