Nazwisko_aktualne,Liczba
RUDZIŃSKA,3581
WIĄCEK,3581
KOZA,3580
PRUS,3578
JARZĄBEK,3576
WARCHOŁ,3574
KOS,3568
PRZYBYŁ,3568
BUCZKOWSKA,3565
RUDNIK,3564
SOŁTYSIAK,3564
KŁOSOWSKA,3563
SHEVCHUK,3563
MOSKAL,3561
MIŚKIEWICZ,3557
HERMAN,3553
KALISZ,3552
STAŃCZAK,3551
KUŹMA,3548
SOJKA,3547
PORĘBSKA,3540
GADOMSKA,3526
KOPACZ,3525
DRABIK,3521
STACHURSKA,3518
WYPYCH,3517
DĄBKOWSKA,3509
ADAMOWICZ,3506
KASPEREK,3502
OLEKSY,3498
SURMA,3492
BIAŁKOWSKA,3485
OLCZYK,3485
BARTNIK,3483
OSSOWSKA,3478
KUCIŃSKA,3477
BŁASZCZAK,3473
STACHOWICZ,3463
WOLIŃSKA,3462
GOLEC,3460
MARCHEWKA,3460
PIŁAT,3459
MAGIERA,3446
ROMAN,3446
ZABŁOCKA,3445
RYŚ,3444
FURMAN,3433
KOVAL,3429
JAROS,3425
KIEŁBASA,3424
BALCERZAK,3423
KORZENIOWSKA,3422
TKACHENKO,3421
BIELSKA,3419
BUDZIŃSKA,3416
NIEDZIELSKA,3415
TRACZ,3412
ADAMIAK,3404
SZYMKOWIAK,3404
ŻYŁA,3401
SZELĄG,3399
RYBARCZYK,3395
WOJTKOWIAK,3395
MILLER,3383
RUDZKA,3380
RADECKA,3378
DRÓŻDŻ,3372
GRUDZIEŃ,3372
BURY,3365
LESIAK,3363
KOSOWSKA,3358
PIETRUSZKA,3358
ŚLĘZAK,3357
SĘK,3353
KOZIK,3352
KUJAWSKA,3351
PIOTROWICZ,3351
KOSTECKA,3350
SCHMIDT,3346
SOBAŃSKA,3338
WARZECHA,3335
PANASIUK,3329
FRĄTCZAK,3328
PELC,3328
BIELIŃSKA,3327
TOMASIK,3323
JURCZYK,3322
URBANEK,3322
PAWLICKA,3319
SEKUŁA,3316
PEŁKA,3314
KRAKOWSKA,3313
TRELA,3313
GRZEŚKOWIAK,3311
WOŹNICA,3307
WOJTASIK,3302
KRUCZEK,3297
WOŁOSZYN,3297
POGORZELSKA,3293
POLAŃSKA,3293
BISKUP,3284
CZERNIAK,3280
SZUBA,3280
ŚWIĄTKOWSKA,3280
SOBOTA,3279
URBANOWICZ,3272
MIERZWA,3269
ŚMIGIELSKA,3268
STAWICKA,3267
PIWOWARSKA,3264
KRAVCHENKO,3262
KULIŃSKA,3259
HOFFMANN,3254
ŚWIDER,3254
MACKIEWICZ,3251
KAWECKA,3250
GUT,3247
KMIEĆ,3243
BANASZEK,3242
CZEKAJ,3240
BORYS,3234
GŁĄB,3234
LITWIN,3228
KRASOWSKA,3201
RATAJCZYK,3191
ALEKSANDROWICZ,3177
GRUDZIŃSKA,3172
LORENC,3167
KWIATEK,3166
ROSZAK,3161
WERNER,3160
ROSZKOWSKA,3156
WIŚNIOWSKA,3145
IZDEBSKA,3140
MAKUCH,3137
TOKARCZYK,3137
NAPIERAŁA,3136
SZAREK,3132
SZWARC,3132
ŁUKASZEWICZ,3127
JUSZCZYK,3123
SKORUPA,3123
SIWIEC,3109
OLIINYK,3106
KAWKA,3101
LISZKA,3101
STUDZIŃSKA,3101
BOGACZ,3099
SZOT,3098
KNAP,3088
JÓŹWIK,3087
PIĘTKA,3081
JAKUBCZYK,3070
TUROWSKA,3068
JEZIORSKA,3066
SEMENIUK,3060
KUKLA,3059
KARCZ,3054
KUSIAK,3051
WRZESIŃSKA,3044
LANGE,3037
GACEK,3035
KRUKOWSKA,3035
WACH,3030
KĘDZIOR,3027
POLISHCHUK,3024
ŻUCHOWSKA,3020
RYBKA,3002
PAPROCKA,2999
ROŻEK,2991
SIDOR,2990
KRÓLAK,2989
MAŃKA,2989
KRASZEWSKA,2981
GRODZKA,2978
BOBROWSKA,2976
KRUSZYŃSKA,2976
SZELIGA,2969
TKACZ,2965
WOJDA,2964
BOGDAŃSKA,2963
MIELCAREK,2963
CICHA,2947
ŚPIEWAK,2942
KORZENIEWSKA,2941
KORCZAK,2935
MAJKOWSKA,2932
RADZISZEWSKA,2931
SMOLEŃ,2929
MAZIARZ,2928
GĄSIOREK,2923
KOSMALA,2923
FILIP,2922
NIEDZIELA,2922
GRZYBEK,2921
SZYMANEK,2921
WAGNER,2919
PERKOWSKA,2918
MAŁKOWSKA,2915
ROMAŃSKA,2915
OLECH,2909
JAKUBIEC,2907
RZEPECKA,2897
RUSEK,2896
GRABARCZYK,2894
MARTYNIUK,2894
WOLNA,2892
WAJDA,2887
SZKUDLAREK,2885
LEWIŃSKA,2884
STASZAK,2884
RODAK,2881
LIPIEC,2880
POTOCKA,2879
NOWIŃSKA,2874
ŚLEDŹ,2872
PĘKALA,2870
RESZKA,2870
BARTOSZEK,2866
TKACHUK,2861
WASIELEWSKA,2858
KULPA,2855
KAPUŚCIŃSKA,2854
SZOPA,2852
PISAREK,2850
RACZKOWSKA,2850
KUPIEC,2849
WOJTOWICZ,2848
KOZAKIEWICZ,2844
PLICHTA,2844
KAWALEC,2843
BANASZAK,2841
DROŻDŻ,2839
ADAMIEC,2838
BUGAJSKA,2834
GŁADYSZ,2834
KONARSKA,2834
PIECH,2834
DUSZYŃSKA,2833
SKONIECZNA,2831
GOLA,2828
KAŹMIERSKA,2824
SZYMANOWSKA,2819
ROGOZIŃSKA,2818
PASZKIEWICZ,2809
ROKICKA,2806
JANCZAK,2803
OSOWSKA,2803
KOCHAŃSKA,2801
OLSZAK,2794
WYRZYKOWSKA,2794
BILIŃSKA,2792
KURZAWA,2786
SUCHECKA,2786
WRZOSEK,2776
BRZESKA,2775
STOKŁOSA,2774
KALIŃSKA,2769
AMBROZIAK,2768
BUGAJ,2768
KĘPKA,2768
SUŁKOWSKA,2768
SOLECKA,2763
PIERZCHAŁA,2759
PUCHAŁA,2759
KAROLAK,2756
BALICKA,2755
KOKOT,2753
SUDOŁ,2750
GRUCA,2747
GOLIŃSKA,2745
SZCZYGIELSKA,2745
WASZKIEWICZ,2739
BIELA,2735
ORZEŁ,2735
WÓJCIAK,2730
LASEK,2729
BRODOWSKA,2727
ŚWIERCZEK,2727
KOKOSZKA,2726
WEBER,2721
PASEK,2719
WIELGUS,2718
WOJTASZEK,2718
JASKULSKA,2715
BURDA,2710
GÓRALCZYK,2709
CHROBAK,2708
ZAPAŁA,2706
KRAUZE,2704
MACH,2702
BARSZCZ,2700
PIECHOCKA,2700
BIAŁECKA,2699
SZCZUREK,2696
PŁATEK,2683
BONDAR,2682
WOŹNA,2682
BOJARSKA,2681
JAROSZEWSKA,2680
GARBACZ,2675
BATOR,2674
JAMRÓZ,2674
DYMEK,2671
MĄCZKA,2666
CZARNOTA,2665
FIGURA,2664
ZBOROWSKA,2664
LOREK,2662
PISZCZEK,2656
KOPROWSKA,2655
OŻÓG,2646
FERENC,2645
DZIKOWSKA,2642
MATUSIK,2640
KOSTKA,2637
SZPAK,2631
